solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
alkane,C1CCCCC1,ET30,-1.5027903144106818,alpha,-0.5624739952482177,beta,-1.5067917246095073,pi_star,-2.168412450417186,SA,-0.5896346870860926,SB,-1.169983678797745,SP,-0.4727315601781847,SdP,-1.5203850162022057,N_mol_cm3,-0.1178085227990461,n,-0.119092419394458,fn,-0.0475904614409402,delta,-0.8129603818718579
amide,CC(=O)N(C)C,ET30,0.1605249033341588,alpha,-0.5624739952482177,beta,1.1037592876318885,pi_star,1.0920062699942668,SA,-0.4621247010271793,SB,0.772468582153646,SP,0.4584173150466242,SdP,1.3875832774070471,N_mol_cm3,0.1938285645724266,n,0.075267412204817,fn,0.1222647185309577,delta,0.3874279431095243
carboxylic_acid,CC(=O)O,ET30,1.3802893963470426,alpha,2.0389198437524865,beta,0.0389292694807928,pi_star,0.2028011644275067,SA,2.54802175557788,SB,-0.1028131992109322,SP,-0.8451911102681088,SdP,0.4712933692890354,N_mol_cm3,1.5674920418019456,n,-1.0423016194910129,fn,-0.8733728785380194,delta,-0.3783370228268752
ester,CCC(=O)OC,ET30,1.176749097108841,alpha,-0.5304669404029846,beta,-0.165249220430851,pi_star,0.9823642641305924,SA,1.266895147562027,SB,-0.3073186884820461,SP,0.2181568540632724,SdP,1.2277758204936982,N_mol_cm3,0.1138,n,-0.4066284960508347,fn,-0.2703522610664368,delta,1.1951705312728882
ester,CCOC(C)=O,ET30,-0.504801183763777,alpha,-0.5624739952482177,beta,0.0389292694807928,pi_star,-0.130650750160028,SA,-0.5896346870860926,SB,0.4088899960483597,SP,-0.7869943055665581,SdP,0.2562156738143893,N_mol_cm3,0.0749144128122595,n,-0.9937116615911924,fn,-0.8290863133307201,delta,-0.4818187749804427
ester,COC(=O)OC,ET30,-0.4909402236159031,alpha,-0.5624739952482177,beta,-0.029769441367665,pi_star,-0.3896841293573379,SA,-0.2981832903800051,SB,0.0419449415532095,SP,-0.8219123883874885,SdP,0.0440842481407662,N_mol_cm3,0.4173051601217067,n,-1.058498272124284,fn,-0.8882250802843696,delta,-0.254158920242594
ether,C1CCOC1,ET30,-0.6018279047988931,alpha,-0.5624739952482177,beta,0.3824228237230819,pi_star,-0.0195001119641833,SA,-0.5896346870860926,SB,0.5738469471516838,SP,-0.111911371028572,SdP,0.3475500376460884,N_mol_cm3,0.5116163839314947,n,-0.4268288194266418,fn,-0.3192507333832761,delta,-0.3576406723961614
ether,CC1CCCO1,ET30,-0.726576546129756,alpha,-0.5624739952482177,beta,0.0389292694807928,pi_star,0.0070252262958974,SA,-0.5896346870860926,SB,0.5502816684226375,SP,-0.2748624241929138,SdP,0.7423501909831096,N_mol_cm3,0.0052061169528511,n,-0.4430254720599165,fn,-0.3335628550661228,delta,-0.5444835178779833
ether,CCOCC,ET30,-1.0037957490872291,alpha,-0.5624739952482177,beta,0.1076279803292505,pi_star,-1.1680567066545815,SA,-0.5896346870860926,SB,0.476219363845635,SP,-1.2409293822386531,SdP,-0.3860711428085255,N_mol_cm3,-0.0542509589272326,n,-1.3014480616233797,fn,-1.111278146511377,delta,-1.1027092879018467
ether,COC(C)(C)C,ET30,-0.9760738287914816,alpha,-0.6138210417681474,beta,0.2008820423567542,pi_star,-0.1525166024201562,SA,-0.5896346870860926,SB,0.4930517057949535,SP,-1.1827325775371025,SdP,-0.2770591601706914,N_mol_cm3,-0.2982299944351622,n,-1.0844129163375211,fn,-0.9119886030785308,delta,-1.144101988763274
ketone,CCC(C)=O,ET30,-0.0612504590318201,alpha,-0.4231136110160371,beta,0.1419773357534794,pi_star,0.3139518026233518,SA,-0.5896346870860926,SB,0.3348276914713569,SP,-0.6356826133425265,SdP,1.0487622502894542,N_mol_cm3,0.2696875924194301,n,-0.8835744236849379,fn,-0.7291715015825456,delta,-0.3576406723961614
ketone,O=C1CC[C@H]2CO[C@@H]1O2,ET30,-0.2340844106674194,alpha,-0.5023285904526711,beta,0.8325706136226654,pi_star,0.279289715886116,SA,-0.5190422448515892,SB,0.9936348700523376,SP,0.4141532868146896,SdP,0.1550772955268621,N_mol_cm3,-0.02153,n,0.4428519552946091,fn,0.4465003132820129,delta,-0.1712393814325332
monohydric_alcohol,CC(C)(C)O,ET30,0.2159687439256533,alpha,0.4130486943770463,beta,1.6876983298437798,pi_star,-0.649353728407305,SA,0.0706848835761366,SB,1.7083467945357722,SP,-1.0663389681340012,SdP,0.6362844781462978,N_mol_cm3,0.1671753926261822,n,-0.7507618720921002,fn,-0.6090036874529834,delta,0.1804644388023894
monohydric_alcohol,CC(C)O,ET30,0.9228777114672108,alpha,1.202757538359403,beta,1.3785541310257194,pi_star,-0.3900022392836666,SA,0.6991269577236375,SB,1.3784328923291231,SP,-1.0546996071936912,SdP,0.8602009830240115,N_mol_cm3,0.6428319996668518,n,-0.9127283984248294,fn,-0.7556354246942238,delta,0.6150877978473722
monohydric_alcohol,CCCCCCCCCCO,ET30,0.8258509904320956,alpha,1.0633971541272222,beta,1.3098554201772616,pi_star,-0.5011528774795115,SA,0.5898326839588549,SB,1.6544833002979518,SP,-0.0187964835060909,SdP,-0.3919636824105706,N_mol_cm3,-0.9440568531326228,n,0.0590707595715459,fn,0.1082226368798623,delta,-0.1713735185197403
monohydric_alcohol,CCO,ET30,1.4080113166427892,alpha,1.4350248454130372,beta,1.0694099322076596,pi_star,-0.1677009628919764,SA,1.231936542326954,SB,0.7994003292725561,SP,-1.0546996071936912,SdP,0.7865442379984477,N_mol_cm3,1.4977837459425372,n,-1.204268145823742,fn,-1.021624855969771,delta,1.0911038577537826
monohydric_alcohol,CCOC(=O)C(C)O,ET30,0.309338229894638,alpha,0.1011245276778936,beta,0.1668475620448589,pi_star,0.1699040046334266,SA,0.0930395528674125,SB,0.1511451783776283,SP,-0.0754054867476224,SdP,0.5448056164383889,N_mol_cm3,-0.001125,n,-0.1573257528990507,fn,-0.1098824184387922,delta,-0.0120167810597922
monohydric_alcohol,CO,ET30,1.893144921818368,alpha,1.7137456138773983,beta,0.7602657333895997,pi_star,0.0546003134997133,SA,2.16549179740114,SB,0.418989401217951,SP,-1.3456836307014444,SdP,1.1430428839221758,N_mol_cm3,3.0375169868371183,n,-1.6901677248219298,fn,-1.4725917089953182,delta,1.7740834219673276
monohydric_alcohol,OC(C(F)(F)F)C(F)(F)F,ET30,2.8218292517259043,alpha,3.989965223003014,beta,-1.5067917246095073,pi_star,0.2398513771594551,SA,4.014386595255381,SB,-1.368605313799707,SP,-2.614373973195247,SdP,2.763491274484576,N_mol_cm3,-0.0706529108941523,n,-2.564786967018668,fn,-2.306745367076704,delta,-0.2955516211040208
monohydric_alcohol,OCC(F)(F)F,ET30,2.503027168324809,alpha,2.94476234126166,beta,-1.5067917246095073,pi_star,0.5362530790150416,SA,3.4770230825785333,SB,-1.0555237535423772,SP,-2.1022420918216014,SdP,1.1960757403405815,N_mol_cm3,0.8294042032905624,n,-2.159870651186843,fn,-1.917077601258821,delta,0.656480498708799
nitrile,CC#N,ET30,0.5347708273267483,alpha,-0.1211661118463125,beta,-0.1328175076403515,pi_star,0.6103535044789383,SA,-0.3892618518506575,SB,-0.4529259117567636,SP,-0.9150272759099696,SdP,1.3492817699937538,N_mol_cm3,1.877078885177554,n,-1.4472179353228345,fn,-1.2460281223555374,delta,0.7185695500009396
polyhydric_alcohol,O,ET30,2.960438853204641,alpha,2.155053497279303,beta,0.1076279803292505,pi_star,1.8700607373651816,SA,4.246636927005546,SB,-1.3315741615112056,SP,-0.4960102820588049,SdP,1.4170459754172726,N_mol_cm3,9.342017274121853,n,-1.625381114288838,fn,-1.4118327018511578,delta,5.623604602080036
polyhydric_alcohol,OCCO,ET30,2.0178935631492307,alpha,1.527931768234491,beta,0.2793747574503951,pi_star,1.2402071209220602,SA,2.675531741636793,SB,0.3819582489294496,SP,0.6213683682109661,SdP,1.1607205027283112,N_mol_cm3,1.6474515576406792,n,-0.0251518341214747,fn,0.034771748243366,delta,1.898261524551608
